index,measurment_data,sample,temperature,z_average,dispersity,mean_count_rate,volume_mean,intensity_mean,number_mean,file,np_formulation,substance_code,polymer_class,polymer,smiles_monomer,smiles_ru,mn,pdi,mn_method,tg,date,additive,polymer_concentration,mass_ru,circular_smiles_10,dp,with_pva,valid,mean_z_average,roll_valid,predicted_z_average,error,rel_error
0,"Donnerstag, 13. Februar 2020 14:12:34",A1 1,25.0,142.8,0.008,425.6,142.4,147.8,123.7,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,12.349407958984386,0.08648044789204752
1,"Donnerstag, 13. Februar 2020 14:12:44",A1 2,25.0,141.0,0.002,416.6,140.6,146.2,122.3,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,10.549407958984375,0.07481849616300976
2,"Donnerstag, 13. Februar 2020 14:12:55",A1 3,25.0,142.6,0.035,416.5,141.5,146.2,125.1,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,12.14940795898437,0.08519921429862812
3,"Donnerstag, 13. Februar 2020 14:13:31",A2 1,25.0,126.2,0.07400000000000001,343.9,124.7,134.9,104.2,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,4.250592041015622,0.03368139493673235
4,"Donnerstag, 13. Februar 2020 14:13:42",A2 2,25.0,128.0,0.01,347.0,125.5,133.6,108.3,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,2.450592041015625,0.01914525032043457
5,"Donnerstag, 13. Februar 2020 14:13:52",A2 3,25.0,124.9,0.035,333.9,122.4,131.4,104.8,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,5.550592041015619,0.04444028855897213
6,"Donnerstag, 13. Februar 2020 14:14:28",A3 1,25.0,125.9,0.018000000000000002,326.3,121.6,130.7,104.1,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,4.550592041015619,0.036144495957232875
7,"Donnerstag, 13. Februar 2020 14:14:39",A3 2,25.0,122.6,0.039,328.6,119.7,129.0,102.8,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,7.850592041015631,0.06403419283047007
8,"Donnerstag, 13. Februar 2020 14:14:49",A3 3,25.0,123.8,0.067,327.2,121.7,132.1,102.2,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,None,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,0,1,130.86666666666667,1.0,130.45059204101562,6.650592041015628,0.05372045267379344
9,"Donnerstag, 13. Februar 2020 14:15:22",A4 1,25.0,197.5,0.077,348.2,217.1,216.8,166.8,VAN057_P3(TS-010c)_1.txt,VAN57_P3,TS-010c,methacrylate,Poly-butyl MA,C=C(C)C(=O)OCCCC,[CH2][C](C)(C(=O)OCCCC),25500.0,1.26,SEC13,20.0,2020-02-13 00:00:00,PVA,1,142.19799999999995,C3[C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)[CH2][C](C)(C(=O)OCCCC)3,179.3274167006569,1,1,206.4,1.0,210.56674194335938,13.066741943359375,0.0661607187005538
